URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-traits-1/i-VQwL2wr/0/9e1af6f7/X4/vertex%20height--X4.jpg,,,100%,image-web,,,,Vertex,Less,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-mCvLdLN/0/6af33ef6/X4/Andrena%2Cabdomen%2Cfaintly%20metallic%2C%20candida-X4.jpg,,,100%,image-web,,,,Vertex,More,,
#,,,100%,image-web,,,,,,,
#Abd Color,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-TSXv7PF/1/dc6f7593/X4/Andrena%20pallidoscopa%2Cfemale%2Cdorsal%2COSAC_0001245940-X4.jpg,,,100%,image-web,,,,AbdColor,Dark,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Oct-30/i-QgxCDzZ/0/86018224/X4/Andrena%2Cabdomen%2CT2%20surface%20%22submoesta%22-X4.jpg,,,100%,image-web,,,,AbdColor,FaintMetallic,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-mCvLdLN/0/6af33ef6/X4/Andrena%2Cabdomen%2Cfaintly%20metallic%2C%20candida-X4.jpg,,,100%,image-web,,,,AbdColor,FaintMetallic,,
#Pygidial Plate,,,100%,image-web,,,,,,,
#,,,100%,image-web,,,,PygidialPlate,absent,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Oct-30/i-SGVrfM3/0/a874dbfa/X3/Andrena%2Cabdomen%2Cpygidial%20plate%20miserabilis-X3.jpg,,,100%,image-web,,,,PygidialPlate,Present,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Dec-8/i-2tfvtzF/0/1920ce40/X4/Andrena%2Cabdomen%2Cpydidial%20plate%20hemileuca-X4.jpg,,,100%,image-web,,,,PygidialPlate,Present,,
#Clypeus median,,,100%,image-web,,,,,,,
#,,,100%,image-web,,,,ClypeusMid,Absent,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Nov10/i-DwWcddR/0/d2c124da/X4/Andrena%2Chead%2Cclypeus%20shiny-X4.jpg,,,100%,image-web,,,,ClypeusMid,Present,,
#,,,100%,image-web,,,,,,,
#Antenna F1,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Nov10/i-MxCcFjF/0/66b36931/X3/Andrena%2Chead%2C%20F1%20equals%20F2plus3.alt-X3.jpg,,,100%,image-web,,,,AntFlag,Short,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Nov10/i-kLVHb9f/0/6ff825f2/X4/Andrena%2Chead%2C%20F1%20longer%20than%20F2plus3-X4.jpg,,,100%,image-web,,,,AntFlag,Long,,
#Hair bands,,,,,,,,,,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-Q85pfwk/1/7fe55b75/X4/Andrena%20astragali%2Cfemale%2Cdorsal%2CDC15May22-X4.jpg,,,100%,image-web,,,,T2HairBands,Complete,,
https://photos.smugmug.com/Discover-Life-Uploads/DL-Andrena-spp-1/i-5Pcm5MW/1/6ab52f4f/X4/Andrena%20orthocarpi%2Cfemale%2Cdorsal%2COSAC_0001245913-X4.jpg,,,100%,image-web,,,,T2HairBands,Interrupted,,
#Text files,,,,,,,,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. astragali,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. auricoma,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. chlorogaster,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. nigrihirta,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. nivalis,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. nubecula,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. orthocarpi,,,,
resources/text/AndrenaInfo.html,,,100%,html-local,,,A. prunorum,,,,
